平假名讀音	日文	中文	羅馬拼音打字	類型
みせ	店	店	mise	地點
えき	駅	車站	eki	地點
みち	道	道路	michi	地點
いえ	家	家	ie	地點
へや	部屋	房間	heya	地點
たてもの	建物	建築物	tatemono	地點
れすとらん	レストラン	餐廳	resutorann	地點
かいしゃ	会社	公司	kaisya	地點
ぎんこう	銀行	銀行	ginnkou	地點
こうえん	公園	公園	kouenn	地點
びょういん	病院	醫院	byouinn	地點
がっこう	学校	學校	gakkou	地點
きょうしつ	教室	教室	kyousitsu	地點
ちかてつ	地下鉄	地鐵	chikatetsu	地點
ばすてい	バス停	公車站	basutei	地點
きっさてん	喫茶店	咖啡廳、茶館	kissatenn	地點
ゆうびんきょく	郵便局	郵局	yuubinnkyoku	地點
としょかん	図書館	圖書館	tosyokann	地點
えいがかん	映画館	電影院	eigakann	地點
こうさてん	交差点	十字路口	kousatenn	地點
いりぐち	入り口	入口	iriguchi	地點
でぐち	出口	出口	deguchi	地點
あぱーと	アパート	公寓	apa-to	地點
でばーと	デパート	百貨公司	depa-to	地點
えれべーたー	エレベーター	電梯(elevator)	erebe-ta-	地點
ほてる	ホテル	旅館、飯店	hoteru	地點
といれ	トイレ	廁所	toire	地點
ばしょ	場所	場所	basyo	地點
ところ	所	地點、地方	tokoro	地點
たべもの	食べ物	食物	tabemono	食物
ごはん	ご飯	飯	gohann	食物
くだもの	果物	水果	kudamono	食物
おかし	お菓子	點心	okasi	食物
かれー	カレー	咖哩	kare-	食物
ぱん	パン	麵包	pann	食物
りょうり	料理	料理	ryouri	食物
さかな	魚	魚	sakana	食物
にく	肉	肉	niku	食物
ぎゅうにく	牛肉	牛肉	gyuuniku	食物
ぶたにく	豚肉	豬肉	butaniku	食物
とりにく	鶏肉	鶏肉	toriniku	食物
やさい	野菜	蔬菜	yasai	食物
たまご	玉子、卵、たまご	蛋	tamago	食物
しょうゆ	醤油	醬油	syouyu	食物
のみもの	飲み物	飲料	nomimono	食物
みず	水	水	mizu	食物
おちゃ	お茶	茶	ocha	食物
こうちゃ	紅茶	紅茶	koucha	食物
ぎゅうにゅう	牛乳	牛奶	gyuunyuu	食物
おさけ	お酒	酒	osake	食物
びーる	ビール	啤酒	bi-ru	食物
こーひー	コーヒー	咖啡	ko-hi-	食物
じゅーす	ジュース	果汁	jyu-su	食物
ふく	服	衣服	fuku	物品
ようふく	洋服	西服	youfuku	物品
こーと	コート	大衣、外衣	ko-to	物品
しゃつ	シャツ	襯衫(shirt)	syatsu	物品
Tしゃつ	Tシャツ	T裇 (T shirt)	Tsyatsu	物品
せーたー	セーター	毛衣(sweater)	se-ta-	物品
ぽけっと	ポケット	口袋(pocket)	poketto	物品
ぼたん	ボタン	鈕扣	botann	物品
ずぼん	ズボン	長褲	zubonn	物品
はんズボン	半ズボン	短褲	hannzubonn	物品
すかーと	スカート	裙子(skirt)	suka-to	物品
くつ	靴	鞋子	kutsu	物品
くつした	靴下	襪子	kutsusita	物品
ほん	本	書	honn	物品
かみ	紙	紙	kami	物品
ちず	地図	地圖	chizu	物品
じしょ	辞書	字典	jisyo	物品
てがみ	手紙	信	tegami	物品
きって	切手	郵票	kitte	物品
ほんだな	本棚	書架、書櫃	honndana	物品
えんぴつ	鉛筆	鉛筆	ennpitsu	物品
じょうぎ	定規	尺	jyougi	物品
まんねんひつ	万年筆	鋼筆	mannnennhitsu	物品
けしゴム	消しゴム	橡皮擦	kesigomu	物品
ぺん	ペン	筆	penn	物品
のーと	ノート	筆記本	no-to	物品
ぼーるぺん	ボールペン	原子筆	bo-rupenn	物品
しゃーぷぺんしる	シャープペンシル	自動鉛筆	sya-pupennsiru	物品
でんわ	電話	電話	dennwa	物品
れいぞうこ	冷蔵庫	冰箱	reizouko	物品
